date,open,high,low,close,volume,symbol,ret_1d,cum_ret,vol_ann,phase,year,month
2021-02-26 07:00:00,1.17,1.18,1.15,1.17,178992100,VN30,0.0,31.46067415730336,48.11799431317872,2_COVID_Recovery,2021,2
2021-03-01 07:00:00,1.17,1.19,1.17,1.19,191028700,VN30,0.017094017094017033,33.70786516853932,48.31077053523921,2_COVID_Recovery,2021,3
2021-03-02 07:00:00,1.19,1.2,1.19,1.19,169421200,VN30,0.0,33.70786516853932,47.768932815865824,2_COVID_Recovery,2021,3
2021-03-03 07:00:00,1.19,1.2,1.19,1.2,154440900,VN30,0.008403361344537785,34.8314606741573,44.39533280764109,2_COVID_Recovery,2021,3
2021-03-04 07:00:00,1.2,1.2,1.16,1.17,183128200,VN30,-0.025000000000000022,31.46067415730336,37.76781610958867,2_COVID_Recovery,2021,3
2021-03-05 07:00:00,1.17,1.17,1.16,1.17,205207500,VN30,0.0,31.46067415730336,35.89309842230684,2_COVID_Recovery,2021,3
2021-03-08 07:00:00,1.17,1.19,1.16,1.17,164933700,VN30,0.0,31.46067415730336,34.77290687354343,2_COVID_Recovery,2021,3
2021-03-09 07:00:00,1.17,1.17,1.15,1.16,159976000,VN30,-0.008547008547008517,30.337078651685378,31.3835678522081,2_COVID_Recovery,2021,3
2021-03-10 07:00:00,1.16,1.17,1.15,1.17,156010800,VN30,0.008620689655172376,31.46067415730336,28.911456031669687,2_COVID_Recovery,2021,3
2021-03-11 07:00:00,1.17,1.19,1.17,1.19,167311800,VN30,0.017094017094017033,33.70786516853932,29.360883566581453,2_COVID_Recovery,2021,3
2021-03-12 07:00:00,1.19,1.19,1.18,1.19,147251900,VN30,0.0,33.70786516853932,28.858367177442744,2_COVID_Recovery,2021,3
2021-03-15 07:00:00,1.19,1.19,1.18,1.19,149674500,VN30,0.0,33.70786516853932,23.196596873310433,2_COVID_Recovery,2021,3
2021-03-16 07:00:00,1.19,1.19,1.18,1.19,163858900,VN30,0.0,33.70786516853932,19.85778529462219,2_COVID_Recovery,2021,3
2021-03-17 07:00:00,1.19,1.19,1.18,1.19,193596700,VN30,0.0,33.70786516853932,15.647502382738738,2_COVID_Recovery,2021,3
2021-03-18 07:00:00,1.19,1.21,1.19,1.21,155167300,VN30,0.01680672268907557,35.95505617977528,15.60833604379578,2_COVID_Recovery,2021,3
2021-03-19 07:00:00,1.21,1.21,1.2,1.2,171417400,VN30,-0.008264462809917328,34.8314606741573,15.597453443706305,2_COVID_Recovery,2021,3
2021-03-22 07:00:00,1.2,1.21,1.19,1.2,161297800,VN30,0.0,34.8314606741573,15.597453443706305,2_COVID_Recovery,2021,3
2021-03-23 07:00:00,1.2,1.2,1.18,1.19,155689000,VN30,-0.008333333333333304,33.70786516853932,15.937079110917823,2_COVID_Recovery,2021,3
